id,latitud,longitud,sector,tipo,C01-BANCOS,C05-CENTRALES CAMIONERAS,C06-CENTROS COMERCIALES,C09-CUARTELES DE LA POLICÍA AUXILIAR,C10-CUARTELES PBI,C11-CUARTELES PGJ,C13-EDUCACION,C15-HOSPITALES,C16-JUZGADOS CIVILES Y PENALES,C19-METROBUS,C20-MINISTERIOR PUBLICOS,C21-MODULOS SSP,C22-MONUMENTOS HISTORICOS,C23-NOTARIAS,C24-OFICINAS DE GOBIERNO,C26-PLAZAS Y PARQUES,C27-RECLUSORIOS,C30-TESORERIAS,C31-TREN LIGERO,C33-IGLESIAS Y TEMPLOS,C38-MERCADOS PUBLICOS,C42-TROLEBUS,C43-TURIBUS,C44-GUARDERIAS,C45-CENTROS DE SALUD Y CLINICAS,C46-ESTABLECIMIENTOS MERCANTILES,C49-TIENDAS DEPARTAMENTALES,C51-EDIFICIOS,C53-CINES,C57-EVENTOS MASIVOS,C58-CASAS Y CENTROS DE CULTURA,C59-MUSEOS Y TEATROS,C62-OXXO,C67-CENTROS PILARES,C72-ACCESOS METRO,C73-ATRACTIVOS TURISTICOS,C75-FONOTECAS,C76-FOTOTECA,C77-GALERIAS,C78-ZONAS ARQUEOLOGICAS,C81-ESTACIONES DE CABLEBUS,C82-ALCALDIAS
2255,19.445954,-99.132773,MORELOS,9m,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2286,19.439694,-99.139856,CENTRO,9m,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,0,0,2,0,2,1,0,1,227,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2290,19.435573,-99.137902,ALAMEDA,9m,13,0,0,0,0,0,1,0,0,0,0,0,3,2,2,1,0,0,0,1,0,0,1,0,0,867,3,0,1,1,1,9,2,0,4,3,0,1,1,0,0,0
2342,19.433632,-99.146103,ALAMEDA,9m,19,0,1,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,517,2,0,0,1,0,3,4,0,2,1,0,0,0,0,0,0
2346,19.425798,-99.132922,CENTRO,9m,10,0,1,0,0,0,3,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,931,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0
2358,19.436395,-99.13797,ALAMEDA,9m,4,0,0,0,0,0,1,0,0,0,0,0,3,1,3,1,0,0,0,1,0,0,1,0,0,667,1,0,1,1,1,9,3,0,4,4,0,2,1,0,0,0
2380,19.435154,-99.142017,ALAMEDA,9m,14,0,1,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,577,4,0,0,0,0,4,0,0,5,2,0,1,1,0,0,0
2397,19.43604,-99.140713,ALAMEDA,9m,8,0,0,0,0,0,0,0,0,2,0,0,4,0,2,1,0,0,0,1,0,2,1,0,0,136,0,0,1,0,1,9,0,0,11,7,0,2,2,0,0,0
2405,19.437682,-99.13356,CENTRO,9m,14,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1131,0,0,0,0,1,4,0,0,0,5,0,1,1,0,0,0
2406,19.437753,-99.134637,CENTRO,9m,7,0,0,0,0,0,2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1077,0,0,0,1,2,5,0,0,0,4,0,1,2,0,0,0
2407,19.439575,-99.139135,CENTRO,9m,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,1,0,2,1,0,1,269,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2409,19.438673,-99.123767,CENTRO,9m,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410,19.434661,-99.124374,CENTRO,9m,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2411,19.425677,-99.12571,CENTRO,9m,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1695,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2412,19.443592,-99.133984,MORELOS,9m,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,543,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2413,19.427972,-99.130693,CENTRO,9m,9,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1025,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2414,19.442783,-99.139318,CENTRO,9m,0,0,0,0,0,0,2,0,0,2,0,0,6,0,0,2,0,0,0,0,1,1,0,0,0,113,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2416,19.440236,-99.125817,CENTRO,9m,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2417,19.442506,-99.135374,CENTRO,9m,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1687,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2418,19.441882,-99.13604,CENTRO,9m,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1512,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
